INSERT INTO main_property (id, name, inv_num, date_of_rec, status, employee_id_id, description)
VALUES
(1, 'рюкзак', 'инв.14125', '2016-03-12', 'в наличии', 1, '-'),
(337, 'рюкзак', 'инв.64628', '2016-04-08', 'в наличии', 85, '-'),
(338, 'шлем', 'инв.86179', '2017-08-22', 'в наличии', 85, '-'),
(339, 'бронежилет', 'инв.50391', '2018-11-17', 'в наличии', 85, '-'),
(340, 'противогаз', 'инв.59234', '2020-06-12', 'в наличии', 85, '-'),
(341, 'рюкзак', 'инв.51976', '2015-11-24', 'в наличии', 86, '-'),
(342, 'шлем', 'инв.73948', '2017-04-19', 'в наличии', 86, '-'),
(343, 'бронежилет', 'инв.30682', '2018-09-11', 'в наличии', 86, '-'),
(344, 'противогаз', 'инв.94572', '2019-04-06', 'в наличии', 86, '-'),
(345, 'рюкзак', 'инв.69472', '2015-07-05', 'в наличии', 87, '-'),
(346, 'шлем', 'инв.70283', '2016-12-30', 'в наличии', 87, '-'),
(347, 'бронежилет', 'инв.10382', '2018-03-23', 'в наличии', 87, '-'),
(348, 'противогаз', 'инв.69427', '2019-10-18', 'в наличии', 87, '-'),
(349, 'рюкзак', 'инв.71142', '2016-07-08', 'в наличии', 88, '-'),
(350, 'шлем', 'инв.50973', '2017-12-03', 'в наличии', 88, '-'),
(351, 'бронежилет', 'инв.19483', '2019-05-28', 'в наличии', 88, '-'),
(352, 'противогаз', 'инв.36294', '2020-04-23', 'в наличии', 88, '-'),
(353, 'рюкзак', 'инв.61254', '2015-11-25', 'в наличии', 89, '-'),
(354, 'шлем', 'инв.43786', '2017-04-20', 'в наличии', 89, '-'),
(355, 'бронежилет', 'инв.91834', '2018-09-13', 'в наличии', 89, '-'),
(356, 'противогаз', 'инв.84167', '2019-04-08', 'в наличии', 89, '-'),
(357, 'рюкзак', 'инв.64628', '2016-04-05', 'в наличии', 90, '-'),
(358, 'шлем', 'инв.86179', '2017-08-20', 'в наличии', 90, '-'),
(359, 'бронежилет', 'инв.50391', '2018-11-15', 'в наличии', 90, '-'),
(360, 'противогаз', 'инв.59234', '2020-06-09', 'в наличии', 90, '-'),
(361, 'рюкзак', 'инв.51976', '2015-11-27', 'в наличии', 91, '-'),
(362, 'шлем', 'инв.73948', '2017-04-22', 'в наличии', 91, '-'),
(363, 'бронежилет', 'инв.30682', '2018-09-12', 'в наличии', 91, '-'),
(364, 'противогаз', 'инв.94572', '2019-04-07', 'в наличии', 91, '-'),
(365, 'рюкзак', 'инв.69472', '2015-07-06', 'в наличии', 92, '-'),
(366, 'шлем', 'инв.70283', '2016-12-29', 'в наличии', 92, '-'),
(367, 'бронежилет', 'инв.10382', '2018-03-24', 'в наличии', 92, '-'),
(368, 'противогаз', 'инв.69427', '2019-10-20', 'в наличии', 92, '-'),
(369, 'рюкзак', 'инв.71142', '2016-07-10', 'в наличии', 93, '-'),
(370, 'шлем', 'инв.50973', '2017-12-04', 'в наличии', 93, '-'),
(371, 'бронежилет', 'инв.19483', '2019-05-29', 'в наличии', 93, '-'),
(372, 'противогаз', 'инв.36294', '2020-04-24', 'в наличии', 93, '-'),
(373, 'рюкзак', 'инв.61254', '2015-11-28', 'в наличии', 94, '-'),
(374, 'шлем', 'инв.43786', '2017-04-23', 'в наличии', 94, '-'),
(375, 'бронежилет', 'инв.91834', '2018-09-16', 'в наличии', 94, '-'),
(376, 'противогаз', 'инв.84167', '2019-04-11', 'в наличии', 94, '-'),
(377, 'рюкзак', 'инв.64628', '2016-04-08', 'в наличии', 95, '-'),
(378, 'шлем', 'инв.86179', '2017-08-22', 'в наличии', 95, '-'),
(379, 'бронежилет', 'инв.50391', '2018-11-17', 'в наличии', 95, '-'),
(380, 'противогаз', 'инв.59234', '2020-06-12', 'в наличии', 95, '-'),
(381, 'рюкзак', 'инв.51976', '2015-11-24', 'в наличии', 96, '-'),
(382, 'шлем', 'инв.73948', '2017-04-19', 'в наличии', 96, '-'),
(383, 'бронежилет', 'инв.30682', '2018-09-11', 'в наличии', 96, '-'),
(384, 'противогаз', 'инв.94572', '2019-04-06', 'в наличии', 96, '-'),
(385, 'рюкзак', 'инв.69472', '2015-07-05', 'в наличии', 97, '-'),
(386, 'шлем', 'инв.70283', '2016-12-30', 'в наличии', 97, '-'),
(387, 'бронежилет', 'инв.10382', '2018-03-23', 'в наличии', 97, '-'),
(388, 'противогаз', 'инв.69427', '2019-10-18', 'в наличии', 97, '-'),
(389, 'рюкзак', 'инв.71142', '2016-07-08', 'в наличии', 98, '-'),
(390, 'шлем', 'инв.50973', '2017-12-03', 'в наличии', 98, '-'),
(391, 'бронежилет', 'инв.19483', '2019-05-28', 'в наличии', 98, '-'),
(392, 'противогаз', 'инв.36294', '2020-04-23', 'в наличии', 98, '-'),
(393, 'рюкзак', 'инв.61254', '2015-11-25', 'в наличии', 99, '-'),
(394, 'шлем', 'инв.43786', '2017-04-20', 'в наличии', 99, '-'),
(395, 'бронежилет', 'инв.91834', '2018-09-13', 'в наличии', 99, '-'),
(396, 'противогаз', 'инв.84167', '2019-04-08', 'в наличии', 99, '-'),
(397, 'рюкзак', 'инв.64628', '2016-04-05', 'в наличии', 100, '-'),
(398, 'шлем', 'инв.86179', '2017-08-20', 'в наличии', 100, '-'),
(399, 'бронежилет', 'инв.50391', '2018-11-15', 'в наличии', 100, '-'),
(400, 'противогаз', 'инв.59234', '2020-06-09', 'в наличии', 100, '-')
